name,lat,lon,link
CN Tower,43.6425956,-79.38712307,http://www.cntower.ca/
Toronto Pearson International Airport,43.6777176,-79.6270137,http://www.torontopearson.com/
Royal Ontario Museum,43.667679,-79.394809,http://www.rom.on.ca/en
