Station,Address,City,State,Longitude,Latitude
Capital Regional Development Authority (CRDA),105 Columbus Blvd,Hartford,CT,-72.670165,41.763287
The SoNo Collection,100 N Water St,Norwalk,CT,-73.418883,41.104791
City of New Haven - Whalley Blake Parking Lot,919 Whalley Ave,New Haven,CT,-72.960178,41.327848
Riverview Cinemas 8 and Playhouse - Tesla Destination,690 Main St S,Southbury,CT,-73.230644,41.465044
The Ridgefield Playhouse,80 E Ridge Rd,Ridgefield,CT,-73.492605,41.282264
Meriden Station Garage,24 Colony St,Meriden,CT,-72.802667,41.539218
HONDA WESTPORT,1372 Post Rd E,Westport,CT,-73.317072,41.138623
FOXWOODS,350 Trolley Line Blvd,Mashantucket,CT,-71.9600027,41.4733521
TOWN HALL LOT,740 Main St,East Hartford,CT,-72.6446905,41.7660404
FOXWOODS,350 Trolley Line Blvd,Ledyard,CT,-71.9600034,41.4733358
Plainville High School,47 Robert Holcomb Way,Plainville,CT,-72.8580302,41.6659341
Connecticut Welcome Center - Tesla Supercharger,1 West Ave.,Darien,CT,-73.504917,41.067306
Whole Foods Market,350 Grasmere Ave,Fairfield,CT,-73.240315,41.157925
Tamarack Country Club - Tesla Destination,55 Locust Rd,Greenwich,CT,-73.709755,41.094294
Madison Beach Hotel - Tesla Destination,94 W Wharf Rd,Madison,CT,-72.608573,41.27077
Newington Electric,72 Pane Rd,Newington,CT,-72.729203,41.65514
Premier Kia,205 N Main St,Branford,CT,-72.809324,41.289894
The Shoppes at Fox Run 1,25 Welles St # 55,Glastonbury,CT,-72.608292,41.714088
NBCSG,98 Maher Rd,Stamford,CT,-73.516045,41.054321
EDENS BISHOPS,345 N Main St,West Hartford,CT,-72.7479436,41.784487
Propark - Water Street Garage,161 Water St,New London,CT,-72.093784,41.355486
Connecticut Post Mall - Tesla Supercharger,1201 Boston Post Road,Milford,CT,-73.036133,41.238119
Manchester Honda,24 Adams St,Manchester,CT,-72.552974,41.795898
New London Mall - Tesla Supercharger,369 N Frontage Rd,New London,CT,-72.119376,41.370726
Plainville Municipal Center,1 Central Square,Plainville,CT,-72.8670213,41.6717114
The Study at Yale - Tesla Destination,1157 Chapel St,New Haven,CT,-72.932698,41.308741
Connecticut Science Center,250 Columbus Blvd,Hartford,CT,-72.668833,41.764376
Windham High School,355 High St,Windham,CT,-72.214432,41.723169
BIG Y FOODS,401 Bridgeport Ave,Shelton,CT,-73.11066,41.29434
WHOLE FOODS MKT,5 Sugar Hollow Rd,Danbury,CT,-73.475576,41.3777667
I-95 Madison NB Service Plaza - Tesla Supercharger,I-95 North Ave,Madison,CT,-72.58049668,41.29048852
Canton Town Hall,4 Market St,Canton,CT,-72.923177,41.811022
UNION STATION,50 Union Ave,New Haven,CT,-72.9263108,41.2974027
TOD,120 Main St,Durham,CT,-72.6809263,41.472228
Delamar Southport - Tesla Destination,275 Old Post Rd,Fairfield,CT,-73.245943,41.146162
Andrew Ward School,755 Melville Ave,Fairfield,CT,-73.234423,41.185685
