Station,Address,City,State,Longitude,Latitude
Delamar West Hartford - Tesla Destination,1 Memorial Rd,West Hartford,CT,-72.737672,41.760566
Connecticut Department of Motor Vehicles,60 State St,Wethersfield,CT,-72.655754,41.7186625
Mill Plain Diner - Tesla Destination,14 Mill Plain Rd,Danbury,CT,-73.494706,41.38756
Sherman Green,1451 Post Rd,Fairfield,CT,-73.256774,41.140584
Stamford Government Center Garage,888 Washington Blvd,Stamford,CT,-73.542499,41.051637
Z Airport Parking,3 International Dr,East Granby,CT,-72.709138,41.928233
Hyatt Regency Greenwich - Tesla Destination,1800 E Putnam Ave,Greenwich,CT,-73.566753,41.046329
Surface Parking Lot,121 Main St,New Britain,CT,-72.781161,41.666233
Deep River Library,150 Main St,Deep River,CT,-72.436701,41.386805
State House Square,10-90 State House Square,Hartford,CT,-72.671417,41.766822
City of Milford - Train Station Parking,1 Railroad Ave,Milford,CT,-73.060012,41.222682
Hammonasset Beach State Park - Meig's Point Nature Center,1288 Boston Post Rd,Madison,CT,-72.546017,41.251952
Grossman Nissan,295 Middlesex Turnpike,Old Saybrook,CT,-72.383105,41.309276
"Saybrook Point Inn, Spa & Marina - Tesla Destination",2 Bridge St,Old Saybrook,CT,-72.351072,41.28331
Fairfield Train Station Overflow Lot,140 Mill Plain Rd,Fairfield,CT,-73.264399,41.142923
Metro Center 1,One Station Place,Stamford,CT,-73.542177,41.046112
Dinosaur State Park and Arboretum,400 West St,Rockyhill,CT,-72.658514,41.651179
Staples High School,70 North Avenue,Westport,CT,-73.3304754,41.1526176
Windham Town Hall,979 Main St,Windham,CT,-72.217506,41.71292
West Hartford - Town Hall,50 S Main St,West Hartford,CT,-72.741204,41.758754
Connecticut Welcome Center - Tesla Supercharger,1 E Trail,Darien,CT,-73.46135,41.080103
City of New Haven - Temple Street Garage,1 Temple St,New Haven,CT,-72.928369,41.304245
Minor Memorial Library,23 South St,Roxbury,CT,-73.30764,41.55358
Szczesny Parking Garage,31 Bank St,New Britain,CT,-72.78037,41.666879
GE WS - Price Chopper #243 Storrs CT 1,1220  Storrs Rd,Mansfield,CT,-72.241254,41.801997
AAMCO EV,133 Pitkin St,East Hartford,CT,-72.6526688,41.7632299
Winvian Farm - Tesla Destination,155 Alain White Rd,Morris,CT,-73.201059,41.697035
Brass Mill Center - Entrance 3,495 Union St,Waterbury,CT,-73.023973,41.549008
COMM LOT STA 1,13 Durant Ave.,Bethel,CT,-73.4178034,41.3762377
Waterbury-Oxford Airport,300 Christian St,Oxford,CT,-73.146142,41.477151
Shagbark Lumber and Farm Supply,1 Mt Parnassus Millington Rd,East Haddam,CT,-72.442533,41.463278
Metro Green Residential Parking - Tesla Destination,717  Atlantic St,Stamford,CT,-73.540098,41.04514
Hartford Road Henny Penny,969 Hartford Road,Waterford,CT,-72.1591426,41.3874871
FOXWOODS,101 Trolley Line Blvd,Mashantucket,CT,-71.9523342,41.4699817
Convention Center - Hartford,100 Columbus Blvd,Hartford,CT,-72.668973,41.762852
County Line Buick-Nissan,2191 Straits Turnpike,Middlebury,CT,-73.098764,41.568122
MYSTIC AQUARIUM,55 Coogan Blvd,Mystic,CT,-71.954088,41.373074
University of Connecticut - Waterbury,99 E Main St,Waterbury,CT,-73.038135,41.555816
Danbury Parking Authority,21 Delay St,Danbury,CT,-73.451059,41.396042
INFINITYGREEN,201 Commons Park S,Stamford,CT,-73.5405387,41.040838
City of Hartford - City Hall,35 Arch St,Hartford,CT,-72.672842,41.762206
White Hart Inn - Tesla Destination,15 Undermountain Rd,Salisbury,CT,-73.422198,41.98483
Premier Subaru,155 N Main St,Branford,CT,-72.813257,41.287914
Central Connecticut State University - Student Center Parking Garage,165 Ella Grasso Blvd,New Britain,CT,-72.76632788,41.69388755
University of Connecticut - South Parking Garage,505 Jim Calhoun Way,Storrs,CT,-72.253601,41.805152
Carter Chevrolet,175 Hartford Turnpike,Vernon,CT,-72.50090654,41.82187666
Dunkin' Donuts,189 Forbes Ave,New Haven,CT,-72.9,41.294167
Bloomfield Human Services Center,330 Park Avenue,Bloomfield,CT,-72.712466,41.8234945
Grand Central Fashion Plaza Shopping Center - Tesla Supercharger,1145 High Ridge Rd,North Stamford,CT,-73.546513,41.107722
University of Connecticut - North Parking Garage,103 N Eagleville Rd,Storrs,CT,-72.258277,41.809176
Fairfield SB - Tesla Supercharger,267 Round Hill Road,Fairfield,CT,-73.255573,41.14807
Fairfield Woods Library,1147 Fairfield Woods Rd,Fairfield,CT,-73.250024,41.187855
Yankee Doodle,10 Burnell Boulevard,Norwalk,CT,-73.414932,41.11803
Lee Partyka Chevrolet Mazda Isuzu,200 Skiff St,Hamden,CT,-72.9100121,41.3729709
777 MAIN ST,71 Asylum St,Hartford,CT,-72.674468,41.766676
Norwich Public Utilities,173 N Main St,Norwich,CT,-72.063516,41.527579
Fairfield Plaza,116 Danbury Rd,New Milford,CT,-73.41763,41.55735
Eastern Connecticut State University - Shakespeare Parking Garage,24 Charger Oak Dr,Willimantic,CT,-72.208134,41.7385909
