Country Name,Country Code,Indicator Name,Value
Iceland,ISL,Military expenditure (% of GDP),
Israel,ISR,Military expenditure (% of GDP),4.348101264
Italy,ITA,Military expenditure (% of GDP),1.332702307
Jamaica,JAM,Military expenditure (% of GDP),1.351956135
Jordan,JOR,Military expenditure (% of GDP),4.682528726
Japan,JPN,Military expenditure (% of GDP),0.923839536
Kazakhstan,KAZ,Military expenditure (% of GDP),0.953875222
Kenya,KEN,Military expenditure (% of GDP),1.220424986
Kyrgyz Republic,KGZ,Military expenditure (% of GDP),1.573770166
Cambodia,KHM,Military expenditure (% of GDP),2.206471374
Kiribati,KIR,Military expenditure (% of GDP),
St. Kitts and Nevis,KNA,Military expenditure (% of GDP),
"Korea, Rep.",KOR,Military expenditure (% of GDP),2.617343637
Kuwait,KWT,Military expenditure (% of GDP),5.055531776
Latin America & Caribbean (excluding high income),LAC,Military expenditure (% of GDP),1.228579773
Lao PDR,LAO,Military expenditure (% of GDP),
Lebanon,LBN,Military expenditure (% of GDP),4.993891316
Liberia,LBR,Military expenditure (% of GDP),0.76537276
Libya,LBY,Military expenditure (% of GDP),
St. Lucia,LCA,Military expenditure (% of GDP),
Latin America & Caribbean,LCN,Military expenditure (% of GDP),1.257583361
Least developed countries: UN classification,LDC,Military expenditure (% of GDP),1.521551057
Low income,LIC,Military expenditure (% of GDP),1.262979476
Liechtenstein,LIE,Military expenditure (% of GDP),
Sri Lanka,LKA,Military expenditure (% of GDP),1.891496667
Lower middle income,LMC,Military expenditure (% of GDP),2.196120637
Low & middle income,LMY,Military expenditure (% of GDP),1.900536624
Lesotho,LSO,Military expenditure (% of GDP),1.809952981
Late-demographic dividend,LTE,Military expenditure (% of GDP),2.009512309
Lithuania,LTU,Military expenditure (% of GDP),1.957848827
Luxembourg,LUX,Military expenditure (% of GDP),0.611662609
Latvia,LVA,Military expenditure (% of GDP),1.979551444
"Macao SAR, China",MAC,Military expenditure (% of GDP),
St. Martin (French part),MAF,Military expenditure (% of GDP),
Morocco,MAR,Military expenditure (% of GDP),3.104426627
Monaco,MCO,Military expenditure (% of GDP),
Moldova,MDA,Military expenditure (% of GDP),0.348808037
Madagascar,MDG,Military expenditure (% of GDP),0.602150651
Maldives,MDV,Military expenditure (% of GDP),
Middle East & North Africa,MEA,Military expenditure (% of GDP),5.476001959
Mexico,MEX,Military expenditure (% of GDP),0.538883866
Marshall Islands,MHL,Military expenditure (% of GDP),
Middle income,MIC,Military expenditure (% of GDP),1.908044585
North Macedonia,MKD,Military expenditure (% of GDP),0.952173875
Mali,MLI,Military expenditure (% of GDP),2.8650193
Malta,MLT,Military expenditure (% of GDP),0.48791947
Myanmar,MMR,Military expenditure (% of GDP),2.924759324
Middle East & North Africa (excluding high income),MNA,Military expenditure (% of GDP),3.055671106
Montenegro,MNE,Military expenditure (% of GDP),1.546464371
Mongolia,MNG,Military expenditure (% of GDP),0.761588208
Northern Mariana Islands,MNP,Military expenditure (% of GDP),
Mozambique,MOZ,Military expenditure (% of GDP),0.994105197
Mauritania,MRT,Military expenditure (% of GDP),3.019252074
Mauritius,MUS,Military expenditure (% of GDP),0.164082477
Malawi,MWI,Military expenditure (% of GDP),0.846126938
Malaysia,MYS,Military expenditure (% of GDP),0.984001501
North America,NAC,Military expenditure (% of GDP),3.015825293
Namibia,NAM,Military expenditure (% of GDP),3.349633191
New Caledonia,NCL,Military expenditure (% of GDP),
Niger,NER,Military expenditure (% of GDP),2.452849285
Nigeria,NGA,Military expenditure (% of GDP),0.506584948
Nicaragua,NIC,Military expenditure (% of GDP),0.608427606
Netherlands,NLD,Military expenditure (% of GDP),1.241607108
Norway,NOR,Military expenditure (% of GDP),1.608669092
Nepal,NPL,Military expenditure (% of GDP),1.442800621
Nauru,NRU,Military expenditure (% of GDP),
New Zealand,NZL,Military expenditure (% of GDP),1.161388402
OECD members,OED,Military expenditure (% of GDP),2.140492633
Oman,OMN,Military expenditure (% of GDP),8.171299501
Other small states,OSS,Military expenditure (% of GDP),
Pakistan,PAK,Military expenditure (% of GDP),4.025735629
Panama,PAN,Military expenditure (% of GDP),0
Peru,PER,Military expenditure (% of GDP),1.1871449
Philippines,PHL,Military expenditure (% of GDP),1.129324061
Palau,PLW,Military expenditure (% of GDP),
Papua New Guinea,PNG,Military expenditure (% of GDP),0.271533184
Poland,POL,Military expenditure (% of GDP),1.97769196
Pre-demographic dividend,PRE,Military expenditure (% of GDP),1.401617037
Puerto Rico,PRI,Military expenditure (% of GDP),
"Korea, Dem. People’s Rep.",PRK,Military expenditure (% of GDP),
Portugal,PRT,Military expenditure (% of GDP),1.779529359
Paraguay,PRY,Military expenditure (% of GDP),0.930582685
West Bank and Gaza,PSE,Military expenditure (% of GDP),
Pacific island small states,PSS,Military expenditure (% of GDP),
Post-demographic dividend,PST,Military expenditure (% of GDP),2.17877597
French Polynesia,PYF,Military expenditure (% of GDP),
Qatar,QAT,Military expenditure (% of GDP),
Romania,ROU,Military expenditure (% of GDP),1.934209074
Russian Federation,RUS,Military expenditure (% of GDP),3.929511089
Rwanda,RWA,Military expenditure (% of GDP),1.231819855
South Asia,SAS,Military expenditure (% of GDP),2.452030452
Saudi Arabia,SAU,Military expenditure (% of GDP),8.774719127
Sudan,SDN,Military expenditure (% of GDP),2.278301873
Senegal,SEN,Military expenditure (% of GDP),1.854329752
Singapore,SGP,Military expenditure (% of GDP),3.143632416
Solomon Islands,SLB,Military expenditure (% of GDP),
Sierra Leone,SLE,Military expenditure (% of GDP),0.797631763
El Salvador,SLV,Military expenditure (% of GDP),1.030575415
San Marino,SMR,Military expenditure (% of GDP),
Somalia,SOM,Military expenditure (% of GDP),
Serbia,SRB,Military expenditure (% of GDP),1.906136034
Sub-Saharan Africa (excluding high income),SSA,Military expenditure (% of GDP),1.101376574
South Sudan,SSD,Military expenditure (% of GDP),1.329208333
Sub-Saharan Africa,SSF,Military expenditure (% of GDP),1.093794226
Small states,SST,Military expenditure (% of GDP),
Sao Tome and Principe,STP,Military expenditure (% of GDP),
Suriname,SUR,Military expenditure (% of GDP),
Slovak Republic,SVK,Military expenditure (% of GDP),1.205238214
Slovenia,SVN,Military expenditure (% of GDP),0.974192235
Sweden,SWE,Military expenditure (% of GDP),1.042914441
Eswatini,SWZ,Military expenditure (% of GDP),1.500061949
Sint Maarten (Dutch part),SXM,Military expenditure (% of GDP),
Seychelles,SYC,Military expenditure (% of GDP),1.444219695
Syrian Arab Republic,SYR,Military expenditure (% of GDP),
Turks and Caicos Islands,TCA,Military expenditure (% of GDP),
Chad,TCD,Military expenditure (% of GDP),2.129559538
East Asia & Pacific (IDA & IBRD countries),TEA,Military expenditure (% of GDP),1.750680047
Europe & Central Asia (IDA & IBRD countries),TEC,Military expenditure (% of GDP),2.904644657
Togo,TGO,Military expenditure (% of GDP),1.97291956
Thailand,THA,Military expenditure (% of GDP),1.327513356
Tajikistan,TJK,Military expenditure (% of GDP),
Turkmenistan,TKM,Military expenditure (% of GDP),
Latin America & the Caribbean (IDA & IBRD countries),TLA,Military expenditure (% of GDP),1.257583361
Timor-Leste,TLS,Military expenditure (% of GDP),0.609203396
Middle East & North Africa (IDA & IBRD countries),TMN,Military expenditure (% of GDP),3.055671106
Tonga,TON,Military expenditure (% of GDP),
South Asia (IDA & IBRD),TSA,Military expenditure (% of GDP),2.452030452
Sub-Saharan Africa (IDA & IBRD countries),TSS,Military expenditure (% of GDP),1.093794226
Trinidad and Tobago,TTO,Military expenditure (% of GDP),0.778172699
Tunisia,TUN,Military expenditure (% of GDP),2.089830757
Turkey,TUR,Military expenditure (% of GDP),2.504356609
Tuvalu,TUV,Military expenditure (% of GDP),
Tanzania,TZA,Military expenditure (% of GDP),1.211863513
Uganda,UGA,Military expenditure (% of GDP),1.425005898
Ukraine,UKR,Military expenditure (% of GDP),3.782802953
Upper middle income,UMC,Military expenditure (% of GDP),1.836647625
Uruguay,URY,Military expenditure (% of GDP),1.950774077
United States,USA,Military expenditure (% of GDP),3.16286488
Uzbekistan,UZB,Military expenditure (% of GDP),3.555482552
St. Vincent and the Grenadines,VCT,Military expenditure (% of GDP),
"Venezuela, RB",VEN,Military expenditure (% of GDP),
British Virgin Islands,VGB,Military expenditure (% of GDP),
Virgin Islands (U.S.),VIR,Military expenditure (% of GDP),
Vietnam,VNM,Military expenditure (% of GDP),2.299457428
Vanuatu,VUT,Military expenditure (% of GDP),
World,WLD,Military expenditure (% of GDP),2.140724839
Samoa,WSM,Military expenditure (% of GDP),
Kosovo,XKX,Military expenditure (% of GDP),0.795344789
"Yemen, Rep.",YEM,Military expenditure (% of GDP),
South Africa,ZAF,Military expenditure (% of GDP),0.981709721
Zambia,ZMB,Military expenditure (% of GDP),1.400950059
Zimbabwe,ZWE,Military expenditure (% of GDP),2.169606363
